emotion,type,intensity,petal-color,color,+intense,-intense,opposite,similar-words,sensations,message,purpose,combo-emotion-0,combo-emotion-1,combo-explanation
serenidad,base,bajo,#ffca05,#ffed9f,alegría,,pensativo,Calma; paz,Relajación; apertura emocional,Algo esencial o significativo está sucediendo,Renueva la energía; proporciona estabilidad,,,
alegría,base,medio,#ffca05,#ffdc7b,éxtasis,serenidad,tristeza,Felicidad,Sensación de energía y posibilidad,Las cosas van bien,Despierta la creatividad; conexión; energiza,,,
éxtasis,base,alto,#ffca05,#ffca05,,alegría,dolor,Euforia,Abundancia de energía,¡Esto es mejor de lo que esperaba!,Fortalece las relaciones; aumenta la creatividad; crea recuerdos,,,
aceptación,base,bajo,#8ac650,#cadf8b,confianza,,aburrimiento,Apertura; acogida,Paz,Estamos juntos en esto,Ayuda a crear relaciones; comunidad,,,
confianza,base,medio,#8ac650,#abd26a,admiración,aceptación,asco,Seguridad,Sensación de libertad y autenticidad,Esta persona o cosa está a salvo,Ayuda a abrirse; conectar; crear alianzas,,,
admiración,base,alto,#8ac650,#8ac650,,confianza,repugnancia,Conexión; orgullo,Vitalidad,Quiero apoyar a la persona o cosa,Fortalece el compromiso con una persona o idea,,,
aprehensión,base,bajo,#00a551,#7ac698,miedo,,molestia,Preocupación,Incapacidad para relajarse,Puede que haya un problema,Ayuda a buscar riesgos potenciales y a no ignorar el problema,,,
miedo,base,medio,#00a551,#30b575,terror,aprehensión,ira,Miedo,Agitación,Algo que me importa está en peligro,Ayuda a proteger lo que nos importa,,,
terror,base,alto,#00a551,#00a551,,miedo,ira,Alarma,Dificultad para respirar,Hay un grave peligro,Ayuda a buscar la seguridad para uno mismo y para los demás,,,
distracción,base,bajo,#0099cd,#89c7e4,sorpresa,,interés,Desconcierto; incertidumbre,Falta de concentración,No sé qué priorizar,Ayuda a considerar qué priorizar,,,
sorpresa,base,medio,#0099cd,#36aed7,asombro,distracción,anticipación,Conmoción,Aceleración del ritmo cardíaco,Ha sucedido algo nuevo,Ayuda a centrarse en el momento,,,
asombro,base,alto,#0099cd,#0099cd,,sorpresa,vigilancia,Inspiración; asombro,Suspensión del ritmo cardíaco,Hay algo totalmente inesperado,Ayuda a recordar este momento,,,
pensativo,base,bajo,#2983c5,#a0c0e5,tristeza,,serenidad,Melancolía; infelicidad,Ralentización; desconexión,Algo está lejos,Ayuda a recordar a las personas y las cosas que son importantes,,,
tristeza,base,medio,#2983c5,#74a8da,dolor,pensativo,alegría,Abatimiento,Pesadez; opresión,Algo se está yendo,Ayuda a centrarse en lo que es importante para nosotros,,,
dolor,base,alto,#2983c5,#2983c5,,tristeza,éxtasis,Dolor profundo; conmoción,Dificultad para avanzar,Se ha perdido algo,Ayuda a saber lo que realmente queremos,,,
aburrimiento,base,bajo,#8973b3,#b9aad3,asco,,aceptación,Cansancio; desinterés,Agotamiento; baja energía,Esta situación no está dando lo que podría,Ayuda a descansar; aprender y volver a centrarse,,,
